t,step,drone_x,drone_y,drone_z,dog0_x,dog0_y,dog0_z,dog1_x,dog1_y,dog1_z,target_x,target_y,target_z
0.0505,1,0.0000,0.0000,2.4939,1.2376,-0.0031,0.4184,-1.2595,-0.0017,0.4185,0.0505,0.0000,3.0000
0.0997,2,0.0000,0.0000,2.4788,1.2378,-0.0030,0.4184,-1.2595,-0.0017,0.4185,0.0997,0.0000,3.0000
0.1496,3,0.0005,0.0000,2.4617,1.2381,-0.0030,0.4183,-1.2597,-0.0018,0.4185,0.1496,0.0000,3.0000
0.1997,4,0.0005,0.0000,2.4617,1.2381,-0.0030,0.4183,-1.2597,-0.0018,0.4185,0.1997,0.0000,3.0000
0.2497,5,0.0022,0.0000,2.4526,1.2382,-0.0021,0.4189,-1.2587,-0.0022,0.4181,0.2497,0.0000,3.0000
0.2997,6,0.0022,0.0000,2.4526,1.2382,-0.0021,0.4189,-1.2587,-0.0022,0.4181,0.2997,0.0000,3.0000
0.3497,7,0.0056,0.0000,2.4514,1.2376,-0.0002,0.4194,-1.2564,-0.0029,0.4171,0.3497,0.0000,3.0000
0.3997,8,0.0056,0.0000,2.4514,1.2376,-0.0002,0.4194,-1.2564,-0.0029,0.4171,0.3997,0.0000,3.0000
0.4497,9,0.0114,0.0000,2.4582,1.2361,0.0027,0.4184,-1.2532,-0.0038,0.4151,0.4497,0.0000,3.0000
0.4997,10,0.0197,0.0000,2.4725,1.2337,0.0058,0.4145,-1.2492,-0.0048,0.4123,0.4997,0.0000,3.0000
0.5497,11,0.0197,0.0000,2.4725,1.2337,0.0058,0.4145,-1.2492,-0.0048,0.4123,0.5497,0.0000,3.0000
0.5997,12,0.0306,0.0000,2.4930,1.2311,0.0089,0.4075,-1.2445,-0.0057,0.4089,0.5997,0.0000,3.0000
0.6496,13,0.0445,0.0000,2.5178,1.2284,0.0118,0.3977,-1.2389,-0.0066,0.4052,0.6496,0.0000,3.0000
0.6997,14,0.0445,0.0000,2.5178,1.2284,0.0118,0.3977,-1.2389,-0.0066,0.4052,0.6997,0.0000,3.0000
0.7497,15,0.0613,0.0000,2.5453,1.2261,0.0145,0.3844,-1.2316,-0.0073,0.4033,0.7497,0.0000,3.0000
0.7996,16,0.0810,0.0000,2.5744,1.2244,0.0166,0.3720,-1.2234,-0.0079,0.4015,0.7996,0.0000,3.0000
0.8497,17,0.0810,0.0000,2.5744,1.2244,0.0166,0.3720,-1.2234,-0.0079,0.4015,0.8497,0.0000,3.0000
0.8998,18,0.1034,0.0000,2.6041,1.2223,0.0180,0.3612,-1.2145,-0.0086,0.3998,0.8998,0.0000,3.0000
0.9497,19,0.1034,0.0000,2.6041,1.2223,0.0180,0.3612,-1.2145,-0.0086,0.3998,0.9497,0.0000,3.0000
0.9997,20,0.1284,0.0000,2.6339,1.2198,0.0190,0.3513,-1.2050,-0.0098,0.3978,0.9997,0.0000,3.0000
1.0497,21,0.1560,0.0000,2.6631,1.2170,0.0195,0.3422,-1.1949,-0.0112,0.3959,1.0497,0.0000,3.0000
1.0997,22,0.1560,0.0000,2.6631,1.2170,0.0195,0.3422,-1.1949,-0.0112,0.3959,1.0997,0.0000,3.0000
1.1497,23,0.1860,0.0000,2.6914,1.2139,0.0200,0.3337,-1.1836,-0.0129,0.3938,1.1497,0.0000,3.0000
1.1997,24,0.2184,0.0000,2.7185,1.2114,0.0212,0.3272,-1.1710,-0.0150,0.3914,1.1997,0.0000,3.0000
1.2497,25,0.2184,0.0000,2.7185,1.2114,0.0212,0.3272,-1.1710,-0.0150,0.3914,1.2497,0.0000,3.0000
1.2997,26,0.2530,0.0000,2.7442,1.2091,0.0226,0.3222,-1.1575,-0.0175,0.3894,1.2997,0.0000,3.0000
1.3498,27,0.2898,0.0000,2.7684,1.2071,0.0242,0.3187,-1.1441,-0.0201,0.3883,1.3498,0.0000,3.0000
1.3997,28,0.2898,0.0000,2.7684,1.2071,0.0242,0.3187,-1.1441,-0.0201,0.3883,1.3997,0.0000,3.0000
1.4498,29,0.3286,0.0000,2.7911,1.2053,0.0260,0.3176,-1.1305,-0.0226,0.3872,1.4498,0.0000,3.0000
