t,step,drone_x,drone_y,drone_z,dog0_x,dog0_y,dog0_z,dog1_x,dog1_y,dog1_z,target_x,target_y,target_z
0.0000,1,0.0000,0.0000,2.4935,1.2391,-0.0146,0.4184,-1.2674,-0.0210,0.4193,0.0000,0.0000,3.0000
0.0491,2,0.0000,0.0000,2.4784,1.2391,-0.0143,0.4184,-1.2675,-0.0208,0.4194,0.0491,0.0000,3.0000
0.0990,3,0.0000,0.0000,2.4784,1.2391,-0.0140,0.4184,-1.2675,-0.0208,0.4194,0.0990,0.0000,3.0000
0.1491,4,0.0002,0.0000,2.4613,1.2391,-0.0140,0.4184,-1.2676,-0.0206,0.4194,0.1491,0.0000,3.0000
0.1991,5,0.0012,0.0000,2.4522,1.2390,-0.0129,0.4192,-1.2668,-0.0206,0.4184,0.1991,0.0000,3.0000
0.2491,6,0.0012,0.0000,2.4522,1.2390,-0.0129,0.4192,-1.2668,-0.0206,0.4184,0.2491,0.0000,3.0000
0.2991,7,0.0035,0.0000,2.4510,1.2382,-0.0105,0.4201,-1.2646,-0.0209,0.4164,0.2991,0.0000,3.0000
0.3490,8,0.0035,0.0000,2.4510,1.2364,-0.0074,0.4196,-1.2646,-0.0209,0.4164,0.3490,0.0000,3.0000
0.3991,9,0.0079,-0.0000,2.4578,1.2364,-0.0074,0.4196,-1.2609,-0.0212,0.4152,0.3991,0.0000,3.0000
0.4491,10,0.0149,-0.0000,2.4722,1.2336,-0.0038,0.4165,-1.2556,-0.0216,0.4148,0.4491,0.0000,3.0000
0.4991,11,0.0149,-0.0000,2.4722,1.2336,-0.0038,0.4165,-1.2556,-0.0216,0.4148,0.4991,0.0000,3.0000
0.5491,12,0.0247,-0.0000,2.4927,1.2306,-0.0007,0.4093,-1.2491,-0.0221,0.4137,0.5491,0.0000,3.0000
0.5991,13,0.0247,-0.0000,2.4927,1.2306,-0.0007,0.4093,-1.2491,-0.0221,0.4137,0.5991,0.0000,3.0000
0.6492,14,0.0372,-0.0000,2.5174,1.2278,0.0022,0.3990,-1.2415,-0.0225,0.4122,0.6492,0.0000,3.0000
0.6991,15,0.0525,-0.0000,2.5450,1.2254,0.0047,0.3859,-1.2327,-0.0229,0.4103,0.6991,0.0000,3.0000
0.7491,16,0.0525,-0.0000,2.5450,1.2254,0.0047,0.3859,-1.2327,-0.0229,0.4103,0.7491,0.0000,3.0000
0.7991,17,0.0705,-0.0000,2.5741,1.2238,0.0062,0.3742,-1.2231,-0.0230,0.4080,0.7991,0.0000,3.0000
0.8492,18,0.0915,-0.0000,2.6039,1.2219,0.0072,0.3635,-1.2126,-0.0229,0.4053,0.8492,0.0000,3.0000
0.8992,19,0.0915,-0.0000,2.6039,1.2219,0.0072,0.3635,-1.2126,-0.0229,0.4053,0.8992,0.0000,3.0000
0.9491,20,0.1154,-0.0000,2.6336,1.2194,0.0077,0.3536,-1.2014,-0.0225,0.4022,0.9491,0.0000,3.0000
0.9990,21,0.1419,0.0000,2.6629,1.2167,0.0079,0.3445,-1.1898,-0.0220,0.3986,0.9990,0.0000,3.0000
1.0491,22,0.1419,0.0000,2.6629,1.2167,0.0079,0.3445,-1.1898,-0.0220,0.3986,1.0491,0.0000,3.0000
1.0992,23,0.1711,0.0000,2.6912,1.2135,0.0079,0.3358,-1.1778,-0.0214,0.3950,1.0992,0.0000,3.0000
1.1490,24,0.2026,0.0000,2.7183,1.2106,0.0083,0.3288,-1.1658,-0.0209,0.3913,1.1490,0.0000,3.0000
1.1992,25,0.2026,0.0000,2.7183,1.2106,0.0083,0.3288,-1.1658,-0.0209,0.3913,1.1992,0.0000,3.0000
1.2492,26,0.2365,0.0000,2.7440,1.2081,0.0095,0.3238,-1.1538,-0.0205,0.3874,1.2492,0.0000,3.0000
1.2990,27,0.2365,0.0000,2.7440,1.2081,0.0095,0.3238,-1.1538,-0.0205,0.3874,1.2990,0.0000,3.0000
1.3491,28,0.2727,0.0000,2.7682,1.2059,0.0108,0.3201,-1.1422,-0.0206,0.3834,1.3491,0.0000,3.0000
1.3992,29,0.3109,0.0000,2.7909,1.2039,0.0126,0.3188,-1.1306,-0.0213,0.3789,1.3992,0.0000,3.0000
1.4492,30,0.3109,0.0000,2.7909,1.2039,0.0126,0.3188,-1.1306,-0.0213,0.3789,1.4492,0.0000,3.0000
1.4992,31,0.3511,0.0000,2.8120,1.2023,0.0142,0.3199,-1.1187,-0.0226,0.3742,1.4992,0.0000,3.0000
1.5491,32,0.3935,0.0000,2.8316,1.2018,0.0150,0.3208,-1.1059,-0.0245,0.3694,1.5491,0.0000,3.0000
1.5991,33,0.3935,0.0000,2.8316,1.2018,0.0150,0.3208,-1.1059,-0.0245,0.3694,1.5991,0.0000,3.0000
1.6481,34,0.4379,0.0000,2.8496,1.2026,0.0150,0.3200,-1.0927,-0.0271,0.3666,1.6481,0.0000,3.0000
1.6959,35,0.4842,0.0000,2.8662,1.2038,0.0142,0.3182,-1.0793,-0.0301,0.3652,1.6959,0.0000,3.0000
1.7439,36,0.4842,0.0000,2.8662,1.2038,0.0142,0.3182,-1.0793,-0.0301,0.3652,1.7439,0.0000,3.0000
1.7906,37,0.5322,0.0000,2.8814,1.2052,0.0134,0.3169,-1.0657,-0.0330,0.3639,1.7906,0.0000,3.0000
1.8361,38,0.5817,0.0000,2.8953,1.2074,0.0127,0.3166,-1.0518,-0.0359,0.3626,1.8361,0.0000,3.0000
1.8817,39,0.5817,0.0000,2.8953,1.2074,0.0127,0.3166,-1.0518,-0.0359,0.3626,1.8817,0.0000,3.0000
1.9260,40,0.6327,0.0000,2.9079,1.2102,0.0128,0.3159,-1.0377,-0.0388,0.3619,1.9260,0.0000,3.0000
1.9689,41,0.6849,0.0000,2.9194,1.2141,0.0137,0.3124,-1.0231,-0.0415,0.3611,1.9689,0.0000,3.0000
